iter	MultiClass
0	1.021157841
1	0.948569769
2	0.877416364
3	0.8206847015
4	0.7679262098
5	0.717162913
6	0.6700799416
7	0.6306730915
8	0.592484896
9	0.5612017912
10	0.5292711552
11	0.5062031488
12	0.4818133808
13	0.4595770609
14	0.4372056904
15	0.4158211128
16	0.3940277639
17	0.3760417243
18	0.3584445522
19	0.3416108565
20	0.3282058784
21	0.3153664084
22	0.302144814
23	0.2896989663
24	0.2770445072
25	0.2667604191
26	0.2586996432
27	0.2491565652
28	0.2397780599
29	0.2312311313
30	0.2242294254
31	0.2169966818
32	0.211725228
33	0.2048115015
34	0.1991976913
35	0.1933598333
36	0.1879596982
37	0.1820716014
38	0.1761727078
39	0.1708479944
40	0.1668407106
41	0.1629180151
42	0.1589818235
43	0.1546228616
44	0.150093344
45	0.145729035
46	0.1416837414
47	0.1379262777
48	0.134804865
49	0.1324913567
50	0.1290265325
51	0.1259875817
52	0.1224162902
53	0.1199290578
54	0.1169158992
55	0.1143261476
56	0.1112045053
57	0.1093046255
58	0.1066802524
59	0.1040641204
60	0.1011109002
61	0.09870629207
62	0.09668730269
63	0.09505679879
64	0.09296349578
65	0.09120677599
66	0.0895527974
67	0.08825339634
68	0.08675138232
69	0.08519923234
70	0.08365383641
71	0.08244003955
72	0.08111977572
73	0.07992574445
74	0.07856541294
75	0.07723695639
76	0.07604341003
77	0.07498362706
78	0.07409992283
79	0.07289871662
80	0.07177356281
81	0.07014461951
82	0.06904397215
83	0.06809614973
84	0.0673435722
85	0.06607659606
86	0.06456772663
87	0.06338517647
88	0.062414521
89	0.06159961766
90	0.06067506457
91	0.05988078023
92	0.05909008792
93	0.05822267929
94	0.05736240513
95	0.05648695945
96	0.05565920679
97	0.05501992027
98	0.05415417915
99	0.05322164096
100	0.05247659072
101	0.05175843781
102	0.05110359256
103	0.05051587468
104	0.0498811426
105	0.049310356
106	0.04851965646
107	0.0479464226
108	0.04732111707
109	0.04657703114
110	0.04623541658
111	0.04579243738
112	0.0453916993
113	0.04524671435
114	0.04444838712
115	0.04374451465
116	0.04332001568
117	0.0428735221
118	0.04280735148
119	0.04228859399
120	0.04156672639
121	0.04104565819
122	0.04064335213
123	0.0399807819
124	0.03948199976
125	0.03896249665
126	0.03852809974
127	0.03801430873
128	0.03793103439
129	0.03743071132
130	0.03703428814
131	0.03648444338
132	0.03601560565
133	0.03596191323
134	0.03549689139
135	0.03505565069
136	0.03499850488
137	0.03464735812
138	0.0342374619
139	0.034060948
140	0.03355353765
141	0.03323133858
142	0.03294203204
143	0.03264806387
144	0.03224462696
145	0.03190096576
146	0.03185303961
147	0.03155008124
148	0.03123934415
149	0.03110390008
150	0.0309262765
151	0.03071598817
152	0.03044968439
153	0.03039421184
154	0.03019020043
155	0.03013917075
156	0.02990764486
157	0.0298510135
158	0.02959569694
159	0.02937653937
160	0.02910520999
161	0.02894329524
162	0.02873207733
163	0.0284395009
164	0.02829222993
165	0.0279356777
166	0.02763106451
167	0.0274467982
168	0.02719032619
169	0.02692476802
170	0.02687639637
171	0.02672918316
172	0.02658873922
173	0.02640782517
174	0.02620457955
175	0.02613653566
176	0.02606798963
177	0.025848441
178	0.02564736571
179	0.0254450415
180	0.02530338397
181	0.02513546401
182	0.02497775001
183	0.02466135639
184	0.02450314684
185	0.02444272405
186	0.02431148478
187	0.0241684959
188	0.02397567809
189	0.02369588823
190	0.02348602454
191	0.02333169718
192	0.0233022638
193	0.02317833935
194	0.02304115218
195	0.02279071079
196	0.02264418745
197	0.02249932055
198	0.02247341026
199	0.02230837576
200	0.02219538284
201	0.02199941122
202	0.02184724069
203	0.02164654152
204	0.0215411904
205	0.02135658553
206	0.02123603439
207	0.02105613857
208	0.02086150036
209	0.02071901755
210	0.0205900255
211	0.0204473524
212	0.02033213067
213	0.02019348171
214	0.02010068413
215	0.0199738473
216	0.01987563611
217	0.01971387908
218	0.01954777965
219	0.01945528189
220	0.01926631264
221	0.01911233349
222	0.01898470437
223	0.0188828898
224	0.01879888335
225	0.01865792465
226	0.01856906601
227	0.01839163492
228	0.01837292705
229	0.01832386152
230	0.01816641274
231	0.0180499593
232	0.01795851342
233	0.01785831106
234	0.0177267397
235	0.01758346
236	0.01749339655
237	0.0173923004
238	0.01731133724
239	0.01720324935
240	0.01708584173
241	0.01699099268
242	0.01693504405
243	0.01691040347
244	0.01682451107
245	0.01669597669
246	0.01662570763
247	0.01647045544
248	0.01639499892
249	0.01631024608
250	0.01619321994
251	0.01607979973
252	0.01596737036
253	0.01585240526
254	0.01574330217
255	0.0156585508
256	0.01553677817
257	0.01545101117
258	0.01536465222
259	0.01528219382
260	0.01519796016
261	0.01510383018
262	0.01509253185
263	0.0150208173
264	0.01496940339
265	0.01488170145
266	0.01482846175
267	0.01472229985
268	0.01464685586
269	0.01455820416
270	0.0144685039
271	0.01438536443
272	0.01430683913
273	0.014175262
274	0.01412652664
275	0.01406526402
276	0.01399281188
277	0.01388703719
278	0.01382943626
279	0.01380216349
280	0.01373151895
281	0.01366349813
282	0.01359235386
283	0.01350645172
284	0.01344331561
285	0.01337392659
286	0.0133171069
287	0.01322197983
288	0.01317569899
289	0.01311377465
290	0.01308968901
291	0.01304482437
292	0.01298222755
293	0.01291857294
294	0.01287208478
295	0.01279811749
296	0.01271639479
297	0.01266612717
298	0.01262629476
299	0.01260174233
300	0.01257846674
301	0.01249799989
302	0.0124380105
303	0.01240918186
304	0.01234818369
305	0.01228630441
306	0.0122113308
307	0.01217887864
308	0.01210657149
309	0.01205501574
310	0.01201499183
311	0.01197972187
312	0.01195554785
313	0.01190195201
314	0.0118643889
315	0.01180825012
316	0.01176461538
317	0.01170912758
318	0.01167204986
319	0.01163567092
320	0.01162291681
321	0.01158220743
322	0.01154451847
323	0.0114929199
324	0.01144163803
325	0.01138813298
326	0.01133956861
327	0.0113002748
328	0.01123237574
329	0.01122139659
330	0.01118845218
331	0.01115796584
332	0.01113623073
333	0.01112246991
334	0.01105345213
335	0.01100698029
336	0.01095369851
337	0.01090744536
338	0.01085490019
339	0.01081383125
340	0.01077706618
341	0.01073567791
342	0.0106998336
343	0.01065800596
344	0.01060978535
345	0.01057891921
346	0.01052152579
347	0.01049462175
348	0.01045758933
349	0.01040706166
350	0.01035104049
351	0.01031695051
352	0.01025124349
353	0.01019257778
354	0.01015203284
355	0.01008562527
356	0.01004947581
357	0.01003933669
358	0.009983219299
359	0.009956884993
360	0.009914581205
361	0.009883076631
362	0.009853421605
363	0.009830634217
364	0.009798489648
365	0.009759796333
366	0.0097097433
367	0.009704829782
368	0.009676998043
369	0.009605838774
370	0.009572866447
371	0.009531567264
372	0.009486253663
